title,image_url,image_credit,description,watch_link
His & Hers,https://cdn.mos.cms.futurecdn.net/dHHnjquqnn2SGAA2EzWEyX.jpg,Netflix,"Anna (Tessa Thompson) and Jack Harper (Jon Bernthal) are both out to solve a murder. She’s a journalist, he an investigator, a detective. The twist is each suspects the other of being involved. It’s a six-part series that is primed for binge viewing, which is what many of us need during a grey and miserable January. It is gripping, and tugs on the emotions more than you’d guess.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-1907845174556955168/https://www.netflix.com/watch/81662954
The Life of Chuck,https://cdn.mos.cms.futurecdn.net/ViqmfEomFJ9dGnitu7yZq9.jpg,,"Both Stephen King and The Life of Chuck director Mike Flanagan are best known for their horror works. But King’s novella The Life of Chuck is something else. Tom Hiddlestone is Chuck, and we get a look at his life in reverse-chronological order, starting with his death in an apocalypse event — because it is still a Stephen King joint, after all. This one divided critics, some saying it’s moving, others that it’s pure schmaltz.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-3375916661432480245/https://www.netflix.com/gb/title/82177711
Tron: Ares,https://cdn.mos.cms.futurecdn.net/ezHYaYAVCT9KFTDkTxLUt3.jpg,Disney,"This third Tron film was definitely a “wait for it to come to streaming” flick, having kinda bombed in cinemas while picking up middling reviews. But, hey, it’s now on Disney+ so it’s time to give it a test drive. Jared Leto stars as an AI entity who becomes flesh, out in the real world. Looks great, sounds great. Just don’t expect too much from the story.",https://disneyplus.bn5x.net/c/221109/564546/9358?subId1=shortlist-de-1117773083447102634&sharedId=shortlist-de&u=https%3A%2F%2Fwww.disneyplus.com%2Fen-gb%2Fbrowse%2Fentity-ef8fe7d7-2ba1-4c95-acf3-27ab28df66e8
A Friend of Dorothy,https://cdn.mos.cms.futurecdn.net/3FXWNTc6gvVeN9fFU7k6iD.jpg,Disney,"This film is shorter than most TV episodes at just 21 minutes, but it picked up a clutch of awards at various festivals and is an absolute charmer. Miriam Margolyes stars as Dorothy, a lonely older woman who lives in a big house. And she becomes unlikely friends with 17-year old JJ (Alistair Nwackukwu) when he kicks a football into her garden. An impressive directorial debut from actor Lee Knight.",https://disneyplus.bn5x.net/c/221109/564546/9358?subId1=shortlist-de-1144495776884578664&sharedId=shortlist-de&u=https%3A%2F%2Fwww.disneyplus.com%2Fen-gb%2Fbrowse%2Fentity-0a7225c7-5643-4278-ae6d-6f33caaea4f2
Waiting for the Out,https://cdn.mos.cms.futurecdn.net/VqzZpRBE8Ux72mq5yRrL3S.jpg,BBC,"BBC drama has one again come up with the goods. Waiting for the Out is an adaptation of Andy West’s The Life Inside memoir. Dan is a man who teaches philosophy lessons in a prison, which forces him to confront his own family’s history with incarceration, including his father. It’s a poignant and powerful character drama, a six-parter from Dennis Kelly — who wrote the brilliant Utopia and comedy series Pulling.",https://www.bbc.co.uk/iplayer/episodes/m002hzc3/waiting-for-the-out
Stranger Things final episode,https://cdn.mos.cms.futurecdn.net/wFZeDWkCdjGyrwZR7zmvyV.jpg,Netflix,"It’s the end of an era. After almost a decade and five seasons, Stranger Things has finished. It was all capped off with a feature-length episode that promised a big showdown and, of course, an emotional gut punch. No spoilers here, we’ll just let you enjoy it. But in an era where so many shows get canceled without a satisfying conclusion, it’s good to see Stranger Things get a proper coda. Well, until the animated spin-off turns up later this year.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-1244626253455287911/https://www.netflix.com/gb/title/80057281
The Night Manager season 2,https://cdn.mos.cms.futurecdn.net/FaXfbceruKMaaVe5GnbB3H.jpg,BBC,"Here’s another mad one. A decade on since season one, The Night Manager season 2 has arrived. Tom Hiddlestone reprises his role as hotel manager turned spy Jonathan Pine. It’s an unusual case where the original season was a mammoth hit, but was not officially renewed until 2024. The BBC hasn’t dropped the ball, the show continuing at the same quality level we remember. And there’s a third season coming too.",https://target.georiot.com/Proxy.ashx?tsid=357512&GR_URL=https%3A%2F%2Famazon.co.uk%2Fgp%2Fvideo%2Fdetail%2Famzn1.dv.gti.32a9f671-189f-4e7c-8b63-f8fecd36ee4c%3Ftag%3Dhawk-future-21%26ascsubtag%3Dshortlist-de-1234468502238896670-21
Run Away,https://cdn.mos.cms.futurecdn.net/dg62x7YyvyeCbhXuGGoomA.jpg,Netflix,"It’s another slice of one of Netflix’s favourite content pies: the Harlan Coben adaptation. Run Away stars James Nesbitt and Minnie Driver in a story of a man looking desperately for his teenage daughter, who has run away from home. Ruth Jones is a series highlight, playing private investigator Elena Ravenscroft. You know what you’re getting here: Run Away is an 8-episode limited series packed with twists and turns. And it would no doubt be picking up more attention were it not for The Night Manager and Stranger Things hogging the limelight.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-1383737416964821652/https://www.netflix.com/gb/title/81744420
Evil Influencer: The Jodi Hildebrandt Story,https://cdn.mos.cms.futurecdn.net/b3jZixFfYxA6oeu8B4HjyV.jpg,Netflix,"True crime takes an unusual and particularly dark turn in Evil Influencer, which looks into the case of Utah therapist-influencer-life coach Jodi Hildebrandt. It’s a fairly horrifying story that digs into child abuse, the Mormon church, a now-disgraced YouTuber and some hefty prison sentences. It’s a feature-length 100-minute documentary, not a show drawn out over multiple bitty episodes.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-2408060432055256811/https://www.netflix.com/gb/title/81925846
Land of Sin,https://cdn.mos.cms.futurecdn.net/mhGuH3iPHuPdDkpSdtbRpf.jpg,Netflix,"Scandi crime returns to the spotlight with Land of Sin, a Swedish TV show centred around a pair of investigators, Dani (Krista Kosonen) and Malik (Mohammed Nour Oklah). They are charged with investigating a murder on the Bjäre peninsula, part of the remote Swedish countryside. It’s a darker and richer kind of series, told across five episodes, rather than relying on the cheap thrills of endless twists and turns.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-5640348145547962846/https://www.netflix.com/gb/title/81666695
